2018-11-17 02:16:04.468 INFO  com.hcq.socket.client.Client - 表达式为 ：6+5
2018-11-17 02:16:04.469 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6+5
2018-11-17 02:16:04.469 INFO  com.hcq.socket.client.Client - 107
2018-11-17 02:16:04.470 INFO  com.hcq.socket.client.Client - 表达式为 ：8-5
2018-11-17 02:16:04.471 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8-5
2018-11-17 02:16:04.472 INFO  com.hcq.socket.client.Client - 3
2018-11-17 02:16:04.474 INFO  com.hcq.socket.client.Client - 表达式为 ：7+1
2018-11-17 02:16:04.477 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息7+1
2018-11-17 02:16:04.480 INFO  com.hcq.socket.client.Client - 104
2018-11-17 02:16:04.482 INFO  com.hcq.socket.client.Client - 表达式为 ：0/8
2018-11-17 02:16:04.486 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息0/8
2018-11-17 02:16:04.487 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.487 INFO  com.hcq.socket.client.Client - 表达式为 ：6-5
2018-11-17 02:16:04.488 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6-5
2018-11-17 02:16:04.489 INFO  com.hcq.socket.client.Client - 1
2018-11-17 02:16:04.489 INFO  com.hcq.socket.client.Client - 表达式为 ：6+4
2018-11-17 02:16:04.494 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6+4
2018-11-17 02:16:04.494 INFO  com.hcq.socket.client.Client - 106
2018-11-17 02:16:04.495 INFO  com.hcq.socket.client.Client - 表达式为 ：1/8
2018-11-17 02:16:04.499 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1/8
2018-11-17 02:16:04.500 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.500 INFO  com.hcq.socket.client.Client - 表达式为 ：6-1
2018-11-17 02:16:04.501 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6-1
2018-11-17 02:16:04.502 INFO  com.hcq.socket.client.Client - 5
2018-11-17 02:16:04.502 INFO  com.hcq.socket.client.Client - 表达式为 ：1/2
2018-11-17 02:16:04.503 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1/2
2018-11-17 02:16:04.504 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.504 INFO  com.hcq.socket.client.Client - 表达式为 ：7/8
2018-11-17 02:16:04.505 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息7/8
2018-11-17 02:16:04.505 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.506 INFO  com.hcq.socket.client.Client - 表达式为 ：7-7
2018-11-17 02:16:04.507 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息7-7
2018-11-17 02:16:04.507 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.507 INFO  com.hcq.socket.client.Client - 表达式为 ：9*4
2018-11-17 02:16:04.508 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9*4
2018-11-17 02:16:04.508 INFO  com.hcq.socket.client.Client - 2964
2018-11-17 02:16:04.509 INFO  com.hcq.socket.client.Client - 表达式为 ：9-9
2018-11-17 02:16:04.510 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9-9
2018-11-17 02:16:04.510 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.511 INFO  com.hcq.socket.client.Client - 表达式为 ：8*6
2018-11-17 02:16:04.512 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8*6
2018-11-17 02:16:04.512 INFO  com.hcq.socket.client.Client - 3024
2018-11-17 02:16:04.512 INFO  com.hcq.socket.client.Client - 表达式为 ：6-10
2018-11-17 02:16:04.513 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6-10
2018-11-17 02:16:04.514 INFO  com.hcq.socket.client.Client - 5
2018-11-17 02:16:04.515 INFO  com.hcq.socket.client.Client - 表达式为 ：1+5
2018-11-17 02:16:04.516 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1+5
2018-11-17 02:16:04.516 INFO  com.hcq.socket.client.Client - 102
2018-11-17 02:16:04.517 INFO  com.hcq.socket.client.Client - 表达式为 ：3*8
2018-11-17 02:16:04.518 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3*8
2018-11-17 02:16:04.519 INFO  com.hcq.socket.client.Client - 2856
2018-11-17 02:16:04.520 INFO  com.hcq.socket.client.Client - 表达式为 ：5+8
2018-11-17 02:16:04.521 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5+8
2018-11-17 02:16:04.523 INFO  com.hcq.socket.client.Client - 109
2018-11-17 02:16:04.525 INFO  com.hcq.socket.client.Client - 表达式为 ：1*7
2018-11-17 02:16:04.529 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1*7
2018-11-17 02:16:04.531 INFO  com.hcq.socket.client.Client - 2695
2018-11-17 02:16:04.532 INFO  com.hcq.socket.client.Client - 表达式为 ：5/10
2018-11-17 02:16:04.534 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5/10
2018-11-17 02:16:04.537 INFO  com.hcq.socket.client.Client - 1
2018-11-17 02:16:04.543 INFO  com.hcq.socket.client.Client - 表达式为 ：4/6
2018-11-17 02:16:04.549 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息4/6
2018-11-17 02:16:04.550 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.551 INFO  com.hcq.socket.client.Client - 表达式为 ：5*2
2018-11-17 02:16:04.554 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5*2
2018-11-17 02:16:04.554 INFO  com.hcq.socket.client.Client - 2650
2018-11-17 02:16:04.554 INFO  com.hcq.socket.client.Client - 表达式为 ：3*10
2018-11-17 02:16:04.556 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3*10
2018-11-17 02:16:04.557 INFO  com.hcq.socket.client.Client - 2499
2018-11-17 02:16:04.557 INFO  com.hcq.socket.client.Client - 表达式为 ：0+5
2018-11-17 02:16:04.560 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息0+5
2018-11-17 02:16:04.564 INFO  com.hcq.socket.client.Client - 101
2018-11-17 02:16:04.566 INFO  com.hcq.socket.client.Client - 表达式为 ：2+1
2018-11-17 02:16:04.567 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息2+1
2018-11-17 02:16:04.569 INFO  com.hcq.socket.client.Client - 99
2018-11-17 02:16:04.569 INFO  com.hcq.socket.client.Client - 表达式为 ：0-1
2018-11-17 02:16:04.572 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息0-1
2018-11-17 02:16:04.573 INFO  com.hcq.socket.client.Client - -1
2018-11-17 02:16:04.576 INFO  com.hcq.socket.client.Client - 表达式为 ：5*9
2018-11-17 02:16:04.579 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5*9
2018-11-17 02:16:04.580 INFO  com.hcq.socket.client.Client - 3021
2018-11-17 02:16:04.580 INFO  com.hcq.socket.client.Client - 表达式为 ：0*7
2018-11-17 02:16:04.581 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息0*7
2018-11-17 02:16:04.581 INFO  com.hcq.socket.client.Client - 2640
2018-11-17 02:16:04.582 INFO  com.hcq.socket.client.Client - 表达式为 ：3*1
2018-11-17 02:16:04.583 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3*1
2018-11-17 02:16:04.586 INFO  com.hcq.socket.client.Client - 2499
2018-11-17 02:16:04.588 INFO  com.hcq.socket.client.Client - 表达式为 ：6*1
2018-11-17 02:16:04.589 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6*1
2018-11-17 02:16:04.590 INFO  com.hcq.socket.client.Client - 2646
2018-11-17 02:16:04.590 INFO  com.hcq.socket.client.Client - 表达式为 ：8*9
2018-11-17 02:16:04.592 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息8*9
2018-11-17 02:16:04.595 INFO  com.hcq.socket.client.Client - 3192
2018-11-17 02:16:04.596 INFO  com.hcq.socket.client.Client - 表达式为 ：6+3
2018-11-17 02:16:04.598 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6+3
2018-11-17 02:16:04.601 INFO  com.hcq.socket.client.Client - 105
2018-11-17 02:16:04.603 INFO  com.hcq.socket.client.Client - 表达式为 ：5-10
2018-11-17 02:16:04.604 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5-10
2018-11-17 02:16:04.605 INFO  com.hcq.socket.client.Client - 4
2018-11-17 02:16:04.605 INFO  com.hcq.socket.client.Client - 表达式为 ：3+8
2018-11-17 02:16:04.608 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3+8
2018-11-17 02:16:04.610 INFO  com.hcq.socket.client.Client - 107
2018-11-17 02:16:04.611 INFO  com.hcq.socket.client.Client - 表达式为 ：1-6
2018-11-17 02:16:04.617 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1-6
2018-11-17 02:16:04.617 INFO  com.hcq.socket.client.Client - -5
2018-11-17 02:16:04.617 INFO  com.hcq.socket.client.Client - 表达式为 ：1+6
2018-11-17 02:16:04.618 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1+6
2018-11-17 02:16:04.619 INFO  com.hcq.socket.client.Client - 103
2018-11-17 02:16:04.619 INFO  com.hcq.socket.client.Client - 表达式为 ：7-6
